,original,adversary,truth,epsilon
1142,5,5,5,0.8
1143,8,8,8,0.8
1144,1,8,1,0.8
1145,9,8,9,0.8
1146,2,2,2,0.8
1147,3,3,3,0.8
1148,1,1,1,0.8
1149,9,9,9,0.8
1150,6,6,6,0.8
1151,4,8,4,0.8
1152,9,8,9,0.8
1153,2,2,2,0.8
1154,7,8,7,0.8
1155,9,8,9,0.8
1156,7,2,0,0.8
1157,7,7,7,0.8
1158,4,2,4,0.8
1159,7,7,7,0.8
1160,1,8,9,0.8
1161,6,6,6,0.8
1162,2,2,2,0.8
1163,9,9,9,0.8
1164,1,1,1,0.8
1165,1,8,1,0.8
1166,3,8,3,0.8
1167,0,0,0,0.8
1168,1,8,1,0.8
1169,3,3,3,0.8
1170,8,8,8,0.8
1171,7,2,7,0.8
1172,9,8,9,0.8
1173,3,3,3,0.8
1174,8,8,8,0.8
1175,5,5,5,0.8
1176,7,8,7,0.8
1177,8,8,8,0.8
1178,1,1,1,0.8
1179,2,2,2,0.8
1180,0,8,0,0.8
1181,6,6,6,0.8
1182,3,3,3,0.8
1183,1,8,1,0.8
1184,6,6,6,0.8
1185,9,8,9,0.8
1186,7,7,7,0.8
1187,7,8,7,0.8
1188,7,2,7,0.8
1189,9,9,9,0.8
1190,8,8,8,0.8
1191,8,8,8,0.8
1192,7,2,7,0.8
1193,0,0,0,0.8
1194,2,2,2,0.8
1195,0,0,0,0.8
1196,5,5,5,0.8
1197,2,2,2,0.8
1198,8,8,8,0.8
1199,5,5,5,0.8
1200,9,9,9,0.8
1201,5,5,5,0.8
1202,0,8,0,0.8
1203,1,1,1,0.8
1204,1,8,1,0.8
1205,0,2,0,0.8
1206,9,8,9,0.8
1207,7,8,7,0.8
1208,4,9,9,0.8
1209,3,3,3,0.8
1210,0,0,0,0.8
1211,9,8,7,0.8
1212,8,8,8,0.8
1213,3,5,5,0.8
1214,2,2,2,0.8
1215,4,8,4,0.8
1216,7,8,7,0.8
1217,8,8,8,0.8
1218,9,8,4,0.8
1219,9,3,9,0.8
1220,2,2,2,0.8
1221,2,2,2,0.8
1222,8,8,8,0.8
1223,5,5,5,0.8
1224,9,8,9,0.8
1225,8,8,8,0.8
1226,9,8,9,0.8
1227,7,7,7,0.8
1228,0,0,0,0.8
1229,6,6,6,0.8
1230,9,8,9,0.8
1231,0,0,0,0.8
1232,8,8,2,0.8
1233,0,0,0,0.8
1234,2,2,2,0.8
1235,1,8,1,0.8
1236,4,4,4,0.8
1237,3,8,3,0.8
1238,0,0,0,0.8
1239,1,1,1,0.8
1240,1,8,1,0.8
1241,4,9,4,0.8
1242,7,8,7,0.8
1243,4,4,4,0.8
1244,4,4,4,0.8
1245,2,2,2,0.8
1246,7,7,7,0.8
1247,1,8,1,0.8
1248,2,2,2,0.8
1249,8,8,8,0.8
1250,4,4,4,0.8
1251,0,0,0,0.8
1252,6,6,6,0.8
1253,0,0,0,0.8
1254,3,3,3,0.8
1255,2,2,2,0.8
1256,6,6,6,0.8
1257,9,5,9,0.8
1258,9,9,9,0.8
1259,1,8,1,0.8
1260,9,9,9,0.8
1261,0,0,0,0.8
1262,1,8,1,0.8
1263,2,2,2,0.8
1264,8,8,8,0.8
1265,6,6,6,0.8
1266,9,8,9,0.8
1267,6,6,6,0.8
1268,3,3,3,0.8
1269,7,8,7,0.8
1270,4,8,4,0.8
1271,6,6,6,0.8
1272,5,5,5,0.8
1273,8,8,8,0.8
1274,5,5,5,0.8
1275,2,2,2,0.8
1276,6,6,6,0.8
1277,9,9,9,0.8
1278,8,8,8,0.8
1279,3,3,3,0.8
1280,6,6,6,0.8
1281,0,0,0,0.8
1282,5,5,5,0.8
1283,0,0,0,0.8
1284,6,6,6,0.8
1285,1,8,1,0.8
1286,6,8,6,0.8
1287,6,5,6,0.8
1288,4,8,4,0.8
1289,3,3,3,0.8
1290,8,8,8,0.8
1291,4,8,4,0.8
1292,0,0,0,0.8
1293,9,8,9,0.8
1294,8,8,8,0.8
1295,6,6,6,0.8
1296,1,1,1,0.8
1297,1,8,1,0.8
1298,2,2,2,0.8
1299,9,9,9,0.8
1300,0,0,0,0.8
1301,8,8,8,0.8
1302,0,0,0,0.8
1303,2,2,2,0.8
1304,9,9,9,0.8
1305,7,7,7,0.8
1306,6,6,6,0.8
1307,8,8,8,0.8
1308,3,3,3,0.8
1309,8,8,8,0.8
1310,4,9,4,0.8
1311,8,8,8,0.8
1312,6,6,6,0.8
1313,3,3,3,0.8
1314,5,5,5,0.8
1315,1,8,1,0.8
1316,2,2,2,0.8
1317,1,8,1,0.8
1318,7,2,7,0.8
1319,7,8,7,0.8
1320,4,4,4,0.8
1321,3,3,3,0.8
1322,5,5,9,0.8
1323,1,8,1,0.8
1324,5,3,5,0.8
1325,6,6,6,0.8
1326,6,6,6,0.8
1327,6,6,6,0.8
1328,2,2,2,0.8
1329,5,5,5,0.8
1330,9,8,9,0.8
1331,5,5,5,0.8
1332,8,8,8,0.8
1333,4,4,4,0.8
1334,5,5,5,0.8
1335,6,2,6,0.8
1336,1,8,1,0.8
1337,2,2,2,0.8
1338,6,0,0,0.8
1339,4,8,4,0.8
1340,8,8,8,0.8
1341,8,8,8,0.8
1342,3,3,3,0.8
1343,0,0,0,0.8
1344,6,5,6,0.8
1345,8,8,8,0.8
1346,1,8,1,0.8
1347,9,8,9,0.8
1348,8,8,8,0.8
1349,5,5,5,0.8
1350,6,6,6,0.8
1351,3,3,3,0.8
1352,3,3,3,0.8
1353,2,2,2,0.8
1354,1,8,1,0.8
1355,4,8,4,0.8
1356,4,4,4,0.8
1357,4,2,4,0.8
1358,3,3,3,0.8
1359,0,0,0,0.8
1360,9,9,9,0.8
1361,6,6,6,0.8
1362,4,8,4,0.8
1363,5,5,5,0.8
1364,6,0,6,0.8
1365,6,2,6,0.8
1366,2,2,2,0.8
1367,3,3,3,0.8
1368,3,3,3,0.8
1369,3,3,3,0.8
1370,8,8,8,0.8
1371,1,8,1,0.8
1372,6,6,6,0.8
1373,9,8,9,0.8
1374,2,2,2,0.8
1375,1,2,1,0.8
1376,4,8,4,0.8
1377,7,7,7,0.8
1378,2,2,2,0.8
1379,1,2,7,0.8
1380,1,8,1,0.8
1381,6,6,6,0.8
1382,6,6,6,0.8
1383,1,1,1,0.8
1384,0,0,0,0.8
1385,8,8,8,0.8
1386,7,7,7,0.8
1387,9,8,9,0.8
1388,7,2,7,0.8
1389,7,7,7,0.8
1390,6,6,6,0.8
1391,7,2,7,0.8
1392,3,3,3,0.8
1393,5,5,5,0.8
1394,9,5,9,0.8
1395,1,8,1,0.8
1396,6,6,6,0.8
1397,6,6,6,0.8
1398,2,2,2,0.8
1399,6,6,6,0.8
1400,5,5,5,0.8
1401,0,0,0,0.8
1402,2,2,2,0.8
1403,8,8,8,0.8
1404,2,2,2,0.8
1405,5,5,5,0.8
1406,2,2,2,0.8
1407,1,2,1,0.8
1408,4,4,4,0.8
1409,9,8,9,0.8
1410,3,8,3,0.8
1411,0,0,0,0.8
1412,9,8,9,0.8
1413,0,0,0,0.8
1414,6,6,6,0.8
1415,0,0,0,0.8
1416,7,8,7,0.8
1417,0,0,0,0.8
1418,5,5,5,0.8
1419,5,5,5,0.8
1420,4,8,4,0.8
1421,2,2,2,0.8
1422,7,7,7,0.8
1423,0,0,0,0.8
1424,5,5,5,0.8
1425,1,8,1,0.8
1426,6,6,6,0.8
1427,7,7,7,0.8
1428,2,2,2,0.8
1429,9,8,9,0.8
1430,3,3,3,0.8
1431,1,1,1,0.8
1432,8,8,8,0.8
1433,5,5,5,0.8
1434,8,8,8,0.8
1435,6,6,6,0.8
1436,9,8,9,0.8
1437,6,8,6,0.8
1438,3,3,3,0.8
1439,6,6,6,0.8
1440,6,6,6,0.8
1441,9,5,9,0.8
1442,1,1,1,0.8
1443,2,2,2,0.8
1444,3,3,3,0.8
1445,6,6,6,0.8
1446,4,4,4,0.8
1447,4,2,4,0.8
1448,7,2,7,0.8
1449,6,6,6,0.8
1450,0,0,0,0.8
1451,3,3,2,0.8
1452,0,0,0,0.8
1453,7,2,7,0.8
1454,9,8,9,0.8
1455,9,8,9,0.8
1456,1,8,1,0.8
1457,7,7,7,0.8
1458,9,9,9,0.8
1459,3,3,3,0.8
1460,2,2,2,0.8
1461,2,2,2,0.8
1462,4,2,4,0.8
1463,2,2,7,0.8
1464,7,7,7,0.8
1465,4,8,9,0.8
1466,2,2,2,0.8
1467,6,6,6,0.8
1468,2,2,2,0.8
1469,6,6,6,0.8
1470,9,8,9,0.8
1471,3,3,3,0.8
1472,2,2,2,0.8
1473,5,5,5,0.8
1474,3,3,3,0.8
1475,6,6,6,0.8
1476,4,4,4,0.8
1477,3,3,3,0.8
1478,1,2,1,0.8
1479,7,7,7,0.8
1480,8,8,8,0.8
1481,6,6,6,0.8
1482,8,8,8,0.8
1483,1,8,1,0.8
1484,9,8,9,0.8
1485,5,5,5,0.8
1486,9,9,9,0.8
1487,6,6,6,0.8
1488,1,1,1,0.8
1489,1,1,1,0.8
1490,5,5,5,0.8
1491,0,0,0,0.8
1492,4,4,4,0.8
1493,0,0,0,0.8
1494,6,6,6,0.8
1495,9,9,9,0.8
1496,8,8,8,0.8
1497,3,3,3,0.8
1498,9,9,9,0.8
1499,7,9,9,0.8
1500,4,4,4,0.8
1501,1,1,1,0.8
1502,8,8,8,0.8
1503,7,9,7,0.8
1504,0,0,0,0.8
1505,1,1,1,0.8
1506,6,8,6,0.8
1507,7,7,7,0.8
1508,0,0,0,0.8
1509,0,0,0,0.8
1510,5,5,5,0.8
1511,5,5,5,0.8
1512,5,8,5,0.8
1513,4,4,4,0.8
1514,6,6,6,0.8
1515,5,5,5,0.8
1516,2,2,2,0.8
1517,2,2,2,0.8
1518,4,8,4,0.8
1519,6,6,6,0.8
1520,4,8,7,0.8
1521,5,5,5,0.8
1522,6,6,6,0.8
1523,0,0,0,0.8
1524,3,3,3,0.8
1525,9,8,9,0.8
1526,6,6,6,0.8
1527,3,3,3,0.8
1528,5,5,5,0.8
1529,9,8,9,0.8
1530,9,8,9,0.8
1531,7,7,7,0.8
1532,1,8,1,0.8
1533,2,2,2,0.8
1534,7,2,7,0.8
1535,9,8,9,0.8
1536,5,5,5,0.8
1537,0,0,0,0.8
1538,5,5,5,0.8
1539,7,7,7,0.8
1540,2,8,2,0.8
1541,9,8,9,0.8
1542,6,8,2,0.8
1543,9,8,9,0.8
1544,7,7,7,0.8
1545,2,2,2,0.8
1546,3,3,3,0.8
1547,2,2,2,0.8
1548,6,6,6,0.8
1549,7,2,7,0.8
1550,3,2,3,0.8
1551,9,8,9,0.8
1552,6,5,6,0.8
1553,7,7,7,0.8
1554,8,8,8,0.8
1555,3,3,3,0.8
1556,6,6,6,0.8
1557,7,8,3,0.8
1558,7,2,7,0.8
1559,0,0,0,0.8
1560,9,8,9,0.8
1561,5,5,5,0.8
1562,8,8,8,0.8
1563,1,1,1,0.8
1564,1,8,1,0.8
1565,4,8,4,0.8
1566,9,8,9,0.8
1567,7,7,7,0.8
1568,1,1,1,0.8
1569,1,8,1,0.8
1570,5,5,5,0.8
1571,7,8,7,0.8
1572,3,3,3,0.8
1573,4,4,4,0.8
1574,1,8,1,0.8
1575,3,3,3,0.8
1576,4,4,4,0.8
1577,0,0,0,0.8
1578,9,8,9,0.8
1579,3,3,3,0.8
1580,8,8,8,0.8
1581,3,3,3,0.8
1582,1,8,1,0.8
1583,0,0,0,0.8
1584,6,6,6,0.8
1585,5,5,5,0.8
1586,5,5,5,0.8
1587,4,8,4,0.8
1588,0,0,0,0.8
1589,8,8,8,0.8
1590,7,7,7,0.8
1591,1,8,1,0.8
1592,4,8,4,0.8
1593,5,5,5,0.8
1594,3,3,3,0.8
1595,4,8,4,0.8
1596,0,6,9,0.8
1597,2,2,2,0.8
1598,3,3,3,0.8
1599,1,1,1,0.8
1600,5,5,5,0.8
1601,2,8,8,0.8
1602,2,2,2,0.8
1603,8,8,8,0.8
1604,5,5,5,0.8
1605,1,3,7,0.8
1606,1,1,1,0.8
1607,4,4,4,0.8
1608,9,8,9,0.8
1609,5,5,5,0.8
1610,1,1,1,0.8
1611,2,2,2,0.8
1612,4,8,4,0.8
1613,9,8,9,0.8
1614,1,8,1,0.8
1615,1,8,1,0.8
1616,2,2,2,0.8
1617,2,2,2,0.8
1618,7,2,7,0.8
1619,7,7,7,0.8
1620,0,0,0,0.8
1621,1,8,1,0.8
1622,9,8,9,0.8
1623,2,2,2,0.8
1624,1,8,1,0.8
1625,5,5,5,0.8
1626,6,6,6,0.8
1627,2,2,2,0.8
1628,5,5,5,0.8
1629,7,9,7,0.8
1630,7,7,7,0.8
1631,4,8,9,0.8
1632,2,2,2,0.8
1633,3,3,3,0.8
1634,4,8,4,0.8
1635,3,3,3,0.8
1636,1,8,1,0.8
1637,2,2,2,0.8
1638,5,5,5,0.8
1639,9,8,9,0.8
1640,5,5,5,0.8
1641,5,5,5,0.8
1642,7,7,7,0.8
1643,3,3,3,0.8
1644,7,7,7,0.8
1645,1,8,1,0.8
1646,3,3,3,0.8
1647,7,2,7,0.8
1648,8,8,8,0.8
1649,5,5,5,0.8
1650,2,2,2,0.8
1651,8,2,8,0.8
1652,1,8,1,0.8
1653,7,7,7,0.8
1654,1,8,1,0.8
1655,0,2,0,0.8
1656,5,5,5,0.8
1657,8,2,4,0.8
1658,9,8,8,0.8
1659,2,2,2,0.8
1660,0,0,0,0.8
1661,9,8,9,0.8
1662,6,6,6,0.8
1663,0,0,0,0.8
1664,4,4,4,0.8
1665,2,2,2,0.8
1666,2,2,2,0.8
1667,9,8,9,0.8
1668,9,9,9,0.8
1669,8,8,8,0.8
1670,8,8,8,0.8
1671,3,3,3,0.8
1672,2,2,2,0.8
1673,3,3,3,0.8
1674,8,8,8,0.8
1675,7,2,7,0.8
1676,3,3,3,0.8
1677,6,6,6,0.8
1678,5,5,5,0.8
1679,8,8,8,0.8
1680,4,8,4,0.8
1681,1,8,1,0.8
1682,5,5,5,0.8
1683,1,1,1,0.8
1684,8,8,8,0.8
1685,6,6,6,0.8
1686,1,1,1,0.8
1687,9,8,9,0.8
1688,5,5,5,0.8
1689,4,4,4,0.8
1690,1,8,1,0.8
1691,7,7,7,0.8
1692,0,0,0,0.8
1693,1,8,1,0.8
1694,1,8,1,0.8
1695,0,0,6,0.8
1696,0,8,0,0.8
1697,9,8,9,0.8
1698,9,8,9,0.8
1699,1,8,1,0.8
1700,2,2,2,0.8
1701,6,6,6,0.8
1702,6,6,6,0.8
1703,2,2,2,0.8
1704,2,2,2,0.8
1705,0,0,0,0.8
1706,6,8,6,0.8
1707,8,8,8,0.8
1708,1,1,1,0.8
1709,2,2,2,0.8
1710,8,8,8,0.8
1711,6,6,6,0.8
1712,6,6,6,0.8
1713,8,8,8,0.8
1714,4,4,4,0.8
1715,2,2,2,0.8
1716,8,8,8,0.8
1717,4,4,4,0.8
1718,9,8,4,0.8
1719,7,2,7,0.8
1720,1,8,1,0.8
1721,6,6,6,0.8
1722,0,0,0,0.8
1723,7,2,7,0.8
1724,5,5,5,0.8
1725,0,0,0,0.8
1726,1,1,1,0.8
1727,0,0,0,0.8
1728,2,2,2,0.8
1729,4,8,4,0.8
1730,3,3,3,0.8
1731,0,0,0,0.8
1732,6,6,6,0.8
1733,3,3,3,0.8
1734,1,1,1,0.8
1735,7,7,7,0.8
1736,4,4,4,0.8
1737,0,0,0,0.8
1738,0,0,0,0.8
1739,8,8,8,0.8
1740,9,5,9,0.8
1741,1,8,1,0.8
1742,8,8,8,0.8
1743,0,8,0,0.8
1744,1,1,1,0.8
1745,5,5,5,0.8
1746,3,3,3,0.8
1747,4,8,4,0.8
1748,7,2,7,0.8
1749,0,0,0,0.8
1750,8,8,8,0.8
1751,2,2,2,0.8
1752,3,3,3,0.8
1753,6,6,6,0.8
1754,3,3,3,0.8
1755,0,0,0,0.8
1756,4,5,4,0.8
1757,7,2,7,0.8
1758,2,2,2,0.8
1759,2,2,2,0.8
1760,5,8,5,0.8
1761,8,8,8,0.8
1762,6,5,6,0.8
1763,6,6,6,0.8
1764,2,2,2,0.8
1765,1,8,1,0.8
1766,1,2,1,0.8
1767,3,3,3,0.8
1768,6,6,6,0.8
1769,7,2,2,0.8
1770,4,4,4,0.8
1771,9,8,9,0.8
1772,1,8,1,0.8
1773,2,2,2,0.8
1774,4,4,4,0.8
1775,2,2,2,0.8
1776,0,0,0,0.8
1777,0,0,0,0.8
1778,2,8,2,0.8
1779,8,8,8,0.8
1780,8,8,2,0.8
1781,2,2,2,0.8
1782,6,6,6,0.8
1783,4,8,4,0.8
1784,9,9,9,0.8
1785,1,8,1,0.8
1786,3,3,3,0.8
1787,0,8,2,0.8
1788,4,4,4,0.8
1789,9,8,9,0.8
1790,8,8,8,0.8
1791,8,8,8,0.8
1792,0,0,0,0.8
1793,3,3,3,0.8
1794,8,8,8,0.8
1795,9,9,9,0.8
1796,7,9,7,0.8
1797,6,6,6,0.8
1798,5,5,5,0.8
1799,6,8,6,0.8
1800,2,2,2,0.8
1801,0,0,0,0.8
1802,7,8,7,0.8
1803,4,2,4,0.8
1804,1,8,1,0.8
1805,4,4,4,0.8
1806,1,8,1,0.8
1807,2,2,2,0.8
1808,2,2,2,0.8
1809,2,2,2,0.8
1810,0,0,0,0.8
1811,4,8,4,0.8
1812,3,3,3,0.8
1813,7,9,7,0.8
1814,8,8,3,0.8
1815,1,1,1,0.8
1816,5,5,5,0.8
1817,2,2,7,0.8
1818,3,3,3,0.8
1819,1,8,1,0.8
1820,7,2,7,0.8
1821,0,0,0,0.8
1822,8,8,8,0.8
1823,5,3,5,0.8
1824,1,2,1,0.8
1825,5,5,5,0.8
1826,0,0,0,0.8
1827,8,8,8,0.8
1828,4,8,4,0.8
1829,6,6,6,0.8
1830,9,9,9,0.8
1831,4,4,4,0.8
1832,2,2,7,0.8
1833,2,2,2,0.8
1834,7,7,7,0.8
1835,7,9,7,0.8
1836,7,2,7,0.8
1837,8,8,8,0.8
1838,1,8,1,0.8
1839,9,8,9,0.8
1840,3,3,3,0.8
1841,9,8,9,0.8
1842,4,4,4,0.8
1843,7,7,7,0.8
1844,4,9,4,0.8
1845,2,2,2,0.8
1846,0,0,0,0.8
1847,4,4,4,0.8
1848,7,7,7,0.8
1849,1,8,1,0.8
1850,1,1,1,0.8
1851,0,8,8,0.8
1852,6,6,6,0.8
1853,7,2,2,0.8
1854,9,8,9,0.8
1855,8,8,8,0.8
1856,7,2,7,0.8
1857,0,0,0,0.8
1858,3,3,3,0.8
1859,9,9,9,0.8
1860,7,8,7,0.8
1861,6,6,6,0.8
1862,9,8,9,0.8
1863,0,0,0,0.8
1864,1,8,1,0.8
1865,7,7,7,0.8
1866,3,3,3,0.8
1867,7,2,7,0.8
1868,9,8,9,0.8
1869,5,5,5,0.8
1870,7,2,7,0.8
1871,3,3,3,0.8
1872,6,6,6,0.8
1873,7,2,7,0.8
1874,8,8,8,0.8
1875,7,2,7,0.8
1876,3,3,3,0.8
1877,7,7,7,0.8
1878,7,2,7,0.8
1879,4,2,4,0.8
1880,5,5,5,0.8
1881,8,8,8,0.8
1882,6,6,6,0.8
1883,3,3,3,0.8
1884,7,8,7,0.8
1885,4,4,4,0.8
1886,5,5,5,0.8
1887,7,7,7,0.8
1888,7,2,7,0.8
1889,6,6,6,0.8
1890,7,7,7,0.8
1891,8,8,8,0.8
1892,9,8,9,0.8
1893,0,8,0,0.8
1894,5,5,5,0.8
1895,2,2,2,0.8
1896,8,8,8,0.8
1897,5,8,5,0.8
1898,0,0,0,0.8
1899,5,5,5,0.8
1900,7,3,9,0.8
1901,4,2,4,0.8
1902,7,7,7,0.8
1903,8,8,8,0.8
1904,7,2,7,0.8
1905,3,2,3,0.8
1906,9,9,9,0.8
1907,8,8,8,0.8
1908,6,8,6,0.8
1909,9,8,9,0.8
1910,5,3,5,0.8
1911,1,8,1,0.8
1912,9,9,9,0.8
1913,8,8,8,0.8
1914,8,8,8,0.8
1915,1,8,1,0.8
1916,9,9,9,0.8
1917,0,0,0,0.8
1918,0,0,0,0.8
1919,2,2,2,0.8
1920,9,8,9,0.8
1921,6,6,6,0.8
1922,5,5,5,0.8
1923,2,2,2,0.8
1924,1,1,1,0.8
1925,9,8,9,0.8
1926,1,8,1,0.8
1927,0,0,0,0.8
1928,7,7,7,0.8
1929,5,8,5,0.8
1930,3,3,3,0.8
1931,3,3,3,0.8
1932,2,2,2,0.8
1933,1,2,1,0.8
1934,5,5,5,0.8
1935,4,8,4,0.8
1936,6,6,6,0.8
1937,4,2,4,0.8
1938,5,8,5,0.8
1939,8,8,8,0.8
1940,2,2,2,0.8
1941,8,8,0,0.8
1942,1,8,1,0.8
1943,4,8,4,0.8
1944,1,8,1,0.8
1945,2,2,2,0.8
1946,7,2,7,0.8
1947,4,8,4,0.8
1948,3,3,3,0.8
1949,3,3,3,0.8
1950,5,5,5,0.8
1951,2,2,2,0.8
1952,3,3,3,0.8
1953,4,4,4,0.8
1954,2,2,2,0.8
1955,9,8,9,0.8
1956,1,1,1,0.8
1957,0,0,0,0.8
1958,3,3,3,0.8
1959,4,4,4,0.8
1960,5,5,5,0.8
1961,7,7,7,0.8
1962,6,8,6,0.8
1963,2,8,2,0.8
1964,8,8,5,0.8
1965,4,4,4,0.8
1966,5,5,5,0.8
1967,1,8,1,0.8
1968,2,2,2,0.8
1969,4,4,4,0.8
1970,3,3,3,0.8
1971,8,8,8,0.8
1972,2,2,2,0.8
1973,5,5,5,0.8
1974,8,8,8,0.8
1975,2,2,2,0.8
1976,3,3,3,0.8
1977,3,2,1,0.8
1978,1,8,1,0.8
1979,7,7,7,0.8
1980,4,4,4,0.8
1981,8,8,3,0.8
1982,7,2,7,0.8
1983,6,6,6,0.8
1984,3,3,3,0.8
1985,2,2,2,0.8
1986,4,8,4,0.8
1987,3,3,3,0.8
1988,1,8,1,0.8
1989,0,0,6,0.8
1990,4,9,4,0.8
1991,8,8,8,0.8
1992,5,5,5,0.8
1993,5,5,5,0.8
1994,4,4,4,0.8
1995,6,6,6,0.8
1996,7,7,7,0.8
1997,6,6,6,0.8
1998,2,2,2,0.8
1999,9,8,9,0.8
2000,7,7,7,0.8
2001,4,8,4,0.8
2002,2,2,2,0.8
2003,9,9,9,0.8
2004,5,5,5,0.8
2005,9,8,9,0.8
2006,1,8,1,0.8
2007,1,8,1,0.8
2008,4,8,4,0.8
2009,3,3,3,0.8
2010,4,8,4,0.8
2011,8,8,8,0.8
2012,1,8,6,0.8
2013,1,8,1,0.8
2014,0,0,0,0.8
2015,9,8,9,0.8
2016,8,8,8,0.8
2017,1,1,1,0.8
2018,1,8,1,0.8
2019,4,4,4,0.8
2020,1,8,1,0.8
2021,3,3,3,0.8
2022,4,4,4,0.8
2023,9,8,9,0.8
2024,1,8,1,0.8
2025,5,5,5,0.8
2026,6,6,6,0.8
2027,5,5,5,0.8
2028,2,2,2,0.8
2029,2,2,2,0.8
2030,3,3,3,0.8
2031,1,1,1,0.8
2032,2,2,2,0.8
2033,9,5,9,0.8
2034,1,8,1,0.8
2035,4,4,4,0.8
2036,1,1,1,0.8
2037,7,7,7,0.8
2038,5,5,5,0.8
2039,0,2,0,0.8
2040,9,8,9,0.8
2041,8,8,8,0.8
2042,7,7,7,0.8
2043,1,8,1,0.8
2044,3,3,3,0.8
2045,7,2,7,0.8
2046,5,5,5,0.8
2047,4,4,4,0.8
2048,3,3,3,0.8
2049,8,8,8,0.8
2050,4,4,4,0.8
2051,4,8,4,0.8
2052,1,8,1,0.8
2053,1,2,1,0.8
2054,8,8,8,0.8
2055,9,8,9,0.8
2056,7,7,7,0.8
2057,0,0,0,0.8
2058,5,5,5,0.8
2059,2,2,2,0.8
2060,6,6,6,0.8
2061,9,9,9,0.8
2062,1,8,1,0.8
2063,0,0,0,0.8
2064,7,7,7,0.8
2065,6,2,6,0.8
2066,3,3,3,0.8
2067,3,3,3,0.8
2068,2,2,2,0.8
2069,7,2,7,0.8
2070,3,3,3,0.8
2071,5,5,5,0.8
2072,0,0,0,0.8
2073,8,8,8,0.8
2074,1,8,1,0.8
2075,5,5,5,0.8
2076,1,8,1,0.8
2077,2,2,2,0.8
2078,4,8,4,0.8
2079,8,8,8,0.8
2080,5,5,5,0.8
2081,4,8,4,0.8
2082,5,5,5,0.8
2083,6,6,6,0.8
2084,2,2,2,0.8
2085,3,3,3,0.8
2086,5,5,5,0.8
2087,5,5,5,0.8
2088,6,6,6,0.8
2089,2,2,2,0.8
2090,0,0,0,0.8
2091,5,5,5,0.8
2092,7,7,7,0.8
2093,5,5,5,0.8
2094,1,2,1,0.8
2095,3,3,3,0.8
2096,9,8,9,0.8
2097,6,6,6,0.8
2098,7,8,7,0.8
2099,9,9,9,0.8
2100,2,2,7,0.8
2101,4,4,4,0.8
2102,2,2,2,0.8
2103,1,8,1,0.8
2104,5,3,5,0.8
2105,3,3,3,0.8
2106,8,8,8,0.8
2107,7,2,7,0.8
2108,6,6,6,0.8
2109,8,8,8,0.8
2110,7,2,7,0.8
2111,4,8,4,0.8
2112,6,6,6,0.8
2113,7,2,7,0.8
2114,4,8,4,0.8
2115,6,6,6,0.8
2116,3,3,3,0.8
2117,8,8,8,0.8
2118,2,2,2,0.8
2119,5,5,6,0.8
2120,9,9,9,0.8
2121,3,3,3,0.8
2122,6,6,6,0.8
2123,9,8,9,0.8
2124,6,6,4,0.8
2125,4,4,4,0.8
2126,2,2,2,0.8
2127,2,2,2,0.8
2128,5,5,5,0.8
2129,5,5,5,0.8
2130,0,0,0,0.8
2131,8,8,8,0.8
2132,8,8,8,0.8
2133,4,4,4,0.8
2134,6,6,6,0.8
2135,8,8,8,0.8
2136,7,7,7,0.8
2137,8,8,8,0.8
2138,3,3,3,0.8
2139,2,2,2,0.8
2140,2,2,2,0.8
2141,3,3,3,0.8
2142,9,9,9,0.8
2143,8,8,8,0.8
2144,1,1,1,0.8
2145,1,2,1,0.8
2146,9,8,9,0.8
2147,1,1,1,0.8
2148,1,8,1,0.8
2149,8,8,8,0.8
2150,1,2,1,0.8
2151,1,1,1,0.8
2152,5,5,5,0.8
2153,8,8,8,0.8
2154,5,5,5,0.8
2155,9,8,9,0.8
2156,0,0,0,0.8
2157,1,2,1,0.8
2158,1,8,1,0.8
2159,8,8,8,0.8
2160,5,5,5,0.8
2161,0,0,0,0.8
2162,3,3,3,0.8
2163,2,2,2,0.8
2164,1,8,1,0.8
2165,0,0,0,0.8
2166,4,4,4,0.8
2167,5,5,5,0.8
2168,1,8,1,0.8
2169,3,3,3,0.8
2170,8,8,8,0.8
2171,1,8,1,0.8
2172,7,2,7,0.8
2173,8,8,8,0.8
2174,0,0,0,0.8
2175,2,2,2,0.8
2176,8,8,8,0.8
2177,3,3,3,0.8
2178,5,5,5,0.8
2179,6,6,6,0.8
2180,5,5,5,0.8
2181,6,6,6,0.8
2182,8,8,8,0.8
2183,3,3,3,0.8
2184,0,0,0,0.8
2185,3,3,3,0.8
2186,4,4,4,0.8
2187,5,5,5,0.8
2188,0,0,0,0.8
2189,7,7,7,0.8
2190,0,0,0,0.8
2191,7,7,7,0.8
2192,6,6,6,0.8
2193,2,2,2,0.8
2194,6,6,6,0.8
2195,7,7,7,0.8
2196,0,0,0,0.8
2197,3,3,3,0.8
2198,9,9,9,0.8
2199,7,8,7,0.8
2200,0,5,0,0.8
2201,3,3,3,0.8
2202,7,8,7,0.8
2203,5,5,5,0.8
2204,0,0,0,0.8
2205,9,8,9,0.8
2206,2,2,2,0.8
2207,9,8,9,0.8
2208,7,2,7,0.8
2209,2,2,2,0.8
2210,2,2,2,0.8
2211,9,8,9,0.8
2212,6,6,6,0.8
2213,4,4,4,0.8
2214,1,8,1,0.8
2215,7,5,7,0.8
2216,5,5,5,0.8
